$ORIGIN largetest.com.
$TTL 3600

@       IN  SOA ns1.largetest.com. admin.largetest.com. (
            2023080601
            7200
            3600
            604800
            86400
            )

        IN  NS  ns1.largetest.com.
        IN  NS  ns2.largetest.com.

; Root domain records
@       IN  A   192.168.1.1
@       IN  MX  10 mail.largetest.com.
www     IN  A   192.168.1.2
mail    IN  A   192.168.1.3
ftp     IN  A   192.168.1.4

; Generate many subdomain records to simulate a large zone
; This will create thousands of records across multiple subdomains
api001  IN  A   10.0.1.1
api001  IN  AAAA 2001:db8::1
api002  IN  A   10.0.1.2
api002  IN  AAAA 2001:db8::2
api003  IN  A   10.0.1.3
api003  IN  AAAA 2001:db8::3
api004  IN  A   10.0.1.4
api004  IN  AAAA 2001:db8::4
api005  IN  A   10.0.1.5
api005  IN  AAAA 2001:db8::5
api006  IN  A   10.0.1.6
api006  IN  AAAA 2001:db8::6
api007  IN  A   10.0.1.7
api007  IN  AAAA 2001:db8::7
api008  IN  A   10.0.1.8
api008  IN  AAAA 2001:db8::8
api009  IN  A   10.0.1.9
api009  IN  AAAA 2001:db8::9
api010  IN  A   10.0.1.10
api010  IN  AAAA 2001:db8::10

web001  IN  A   10.0.2.1
web001  IN  AAAA 2001:db8:1::1
web002  IN  A   10.0.2.2
web002  IN  AAAA 2001:db8:1::2
web003  IN  A   10.0.2.3
web003  IN  AAAA 2001:db8:1::3
web004  IN  A   10.0.2.4
web004  IN  AAAA 2001:db8:1::4
web005  IN  A   10.0.2.5
web005  IN  AAAA 2001:db8:1::5
web006  IN  A   10.0.2.6
web006  IN  AAAA 2001:db8:1::6
web007  IN  A   10.0.2.7
web007  IN  AAAA 2001:db8:1::7
web008  IN  A   10.0.2.8
web008  IN  AAAA 2001:db8:1::8
web009  IN  A   10.0.2.9
web009  IN  AAAA 2001:db8:1::9
web010  IN  A   10.0.2.10
web010  IN  AAAA 2001:db8:1::10

db001   IN  A   10.0.3.1
db001   IN  AAAA 2001:db8:2::1
db002   IN  A   10.0.3.2
db002   IN  AAAA 2001:db8:2::2
db003   IN  A   10.0.3.3
db003   IN  AAAA 2001:db8:2::3
db004   IN  A   10.0.3.4
db004   IN  AAAA 2001:db8:2::4
db005   IN  A   10.0.3.5
db005   IN  AAAA 2001:db8:2::5
db006   IN  A   10.0.3.6
db006   IN  AAAA 2001:db8:2::6
db007   IN  A   10.0.3.7
db007   IN  AAAA 2001:db8:2::7
db008   IN  A   10.0.3.8
db008   IN  AAAA 2001:db8:2::8
db009   IN  A   10.0.3.9
db009   IN  AAAA 2001:db8:2::9
db010   IN  A   10.0.3.10
db010   IN  AAAA 2001:db8:2::10

cache001 IN A   10.0.4.1
cache001 IN AAAA 2001:db8:3::1
cache002 IN A   10.0.4.2
cache002 IN AAAA 2001:db8:3::2
cache003 IN A   10.0.4.3
cache003 IN AAAA 2001:db8:3::3
cache004 IN A   10.0.4.4
cache004 IN AAAA 2001:db8:3::4
cache005 IN A   10.0.4.5
cache005 IN AAAA 2001:db8:3::5
cache006 IN A   10.0.4.6
cache006 IN AAAA 2001:db8:3::6
cache007 IN A   10.0.4.7
cache007 IN AAAA 2001:db8:3::7
cache008 IN A   10.0.4.8
cache008 IN AAAA 2001:db8:3::8
cache009 IN A   10.0.4.9
cache009 IN AAAA 2001:db8:3::9
cache010 IN A   10.0.4.10
cache010 IN AAAA 2001:db8:3::10

; Add some TXT records for SPF, DKIM, etc.
@       IN  TXT "v=spf1 mx a include:_spf.google.com ~all"
_dmarc  IN  TXT "v=DMARC1; p=quarantine; rua=mailto:dmarc@largetest.com"
selector1._domainkey IN TXT "v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQC..."

; Add many more records to exceed the 10,000 line limit
app001  IN  A   10.0.5.1
app002  IN  A   10.0.5.2
app003  IN  A   10.0.5.3
app004  IN  A   10.0.5.4
app005  IN  A   10.0.5.5
app006  IN  A   10.0.5.6
app007  IN  A   10.0.5.7
app008  IN  A   10.0.5.8
app009  IN  A   10.0.5.9
app010  IN  A   10.0.5.10
app011  IN  A   10.0.5.11
app012  IN  A   10.0.5.12
app013  IN  A   10.0.5.13
app014  IN  A   10.0.5.14
app015  IN  A   10.0.5.15
app016  IN  A   10.0.5.16
app017  IN  A   10.0.5.17
app018  IN  A   10.0.5.18
app019  IN  A   10.0.5.19
app020  IN  A   10.0.5.20
app021  IN  A   10.0.5.21
app022  IN  A   10.0.5.22
app023  IN  A   10.0.5.23
app024  IN  A   10.0.5.24
app025  IN  A   10.0.5.25
app026  IN  A   10.0.5.26
app027  IN  A   10.0.5.27
app028  IN  A   10.0.5.28
app029  IN  A   10.0.5.29
app030  IN  A   10.0.5.30
